WEATHERNAME,crashes,total_crashes,percent_of_total
Clear,23817,32106,74.18239581386656
Cloudy,4870,32106,15.168504329408833
Rain,2472,32106,7.699495421416557
"Fog, Smog, Smoke",466,32106,1.4514420980502087
Snow,320,32106,0.9966984364293279
Severe Crosswinds,60,32106,0.18688095683049896
Sleet or Hail,50,32106,0.15573413069208247
Blowing Snow,23,32106,0.07163770011835793
Freezing Rain or Drizzle,17,32106,0.052949604435308044
"Blowing Sand, Soil, Dirt",11,32106,0.03426150875225815
Total (excluding Unknown/Other/Not Reported),32106,32106,100.0
